,predicted_mean
2017-09-22 00:00:00,73890.33109302312
2017-09-22 01:00:00,76626.35001804592
2017-09-22 02:00:00,85169.79057614165
2017-09-22 03:00:00,99287.81109432428
2017-09-22 04:00:00,116689.87915441557
2017-09-22 05:00:00,114484.64897660447
2017-09-22 06:00:00,107189.43790418016
2017-09-22 07:00:00,99197.6083674728
2017-09-22 08:00:00,103189.2453963359
2017-09-22 09:00:00,108202.86044453237
2017-09-22 10:00:00,116061.19738553395
2017-09-22 11:00:00,134139.5981136842
2017-09-22 12:00:00,147093.29463140108
2017-09-22 13:00:00,146986.72292245575
2017-09-22 14:00:00,145718.43650810182
2017-09-22 15:00:00,150599.90394623383
2017-09-22 16:00:00,157062.67134604623
2017-09-22 17:00:00,152099.1086172797
2017-09-22 18:00:00,157244.91701963774
2017-09-22 19:00:00,153125.99639280466
2017-09-22 20:00:00,129654.36047997816
2017-09-22 21:00:00,108725.946423885
2017-09-22 22:00:00,95987.22782990133
2017-09-22 23:00:00,86167.00476037305
